Metabolite,Formula
phe__L_c,C9H11NO2
pheme_c,C34H30FeN4O4
phetrna_c,C9H10NOR
phhlipa_c,C124H219N2O54P3
phom_c,C4H8NO6P
phphhlipa_c,C131H230N2O63P4
phpyr_c,C9H7O3
phthr_c,C4H8NO7P
pi_c,HO4P
pimACP_c,C18H31N2O10PRS
pmeACP_c,C19H33N2O10PRS
pmtcoa_c,C37H62N7O17P3S
pnto__R_c,C9H16NO5
poaac_c,C3H5NO3
ppa_c,C3H5O2
ppal_c,C3H6O
ppap_c,C3H5O5P
ppbng_c,C10H13N2O4
ppcoa_c,C24H36N7O17P3S
ppgpp_c,C10H11N5O17P4
pphn_c,C10H8O6
ppi_c,HO7P2
ppp9_c,C34H32N4O4
pppg9_c,C34H38N4O4
pppi_c,HO10P3
pppn_c,C9H9O2
pram_c,C5H11NO7P
pran_c,C12H13NO9P
prbamp_c,C15H19N5O14P2
prbatp_c,C15H19N5O20P4
preq0_c,C7H5N5O
preq1_c,C7H10N5O
prfp_c,C15H21N5O15P2
prlp_c,C15H21N5O15P2
pro__L_c,C5H9NO2
progly_c,C7H12N2O3
protrna_c,C5H8NOR
prpp_c,C5H8O14P3
ps120_c,C30H57N1O10P1
ps140_c,C34H65N1O10P1
ps141_c,C34H61N1O10P1
ps160_c,C38H73N1O10P1
ps161_c,C38H69N1O10P1
ps180_c,C42H81N1O10P1
ps181_c,C42H77N1O10P1
psclys_c,C12H25N2O7
pser__L_c,C3H6NO6P
ptrc_c,C4H14N2
pyam5p_c,C8H12N2O5P
pydam_c,C8H13N2O2
pydx_c,C8H9NO3
pydx5p_c,C8H8NO6P
pydxn_c,C8H11NO3
pyr_c,C3H3O3
q8_c,C49H74O4
q8h2_c,C49H76O4
quin_c,C7H12O6
quln_c,C7H3NO4
r15bp_c,C5H8O11P2
r1p_c,C5H9O8P
r5p_c,C5H9O8P
ragund_c,C69H113N1O16P2
rbflvrd_c,C17H22N4O6
rbl__L_c,C5H10O5
